store_name,address,zip,new_status,median_income
jewel - osco,4042 w foster ave,60630,OPEN,98860.0
jewel - osco,1763 w howard st,60626,OPEN,59713.0
market fresh finer foods,800 n kedzie avenue,60651,OPEN,54409.0
happy foods - edison park,6783 northwest highway,60631,OPEN,115000.0
jewel - osco,3128 w 103rd st,60655,OPEN,114723.0
aldi,2828 n central ave,60634,OPEN,88533.0
aldi,5629 w fillmore st,60644,OPEN,40950.0
woodlawn super fair llc,6319 s vernon ave,60637,OPEN,43609.0
target,3204 n clark st,60657,OPEN,110939.0
aldi,1739 w cermak rd,60608,OPEN,73366.0
aldi,1440 n kostner ave,60651,OPEN,54409.0
potash markets,875 n state street,60610,OPEN,105226.0
jewel - osco,443 e 34th st,60616,OPEN,73819.0
seafood city supermarket,5033 n elston ave,60630,OPEN,98860.0
target,2112 w peterson ave,60659,OPEN,68704.0
jewel - osco,3400 n western ave,60618,OPEN,106384.0
cermak produce,4000 west diversey ave,60647,OPEN,107060.0
pete's produce,1411 west 87th street,60620,OPEN,48146.0
whole foods market,1101 s canal st ste 107,60607,OPEN,127732.0
aldi,2600 n clybourn ave,60614,OPEN,136448.0
carniceria la hacienda,3459 w 59th st,60629,OPEN,60826.0
bockwinkel's at park millenium,222 n columbus,60601,OPEN,121458.0
walmart,7050 s cicero ave,60638,OPEN,91070.0
aldi,7545 s western ave,60620,OPEN,48146.0
shop & save market,5829 s archer ave,60638,OPEN,91070.0
cermak produce,2701 w north ave,60647,OPEN,107060.0
aldi,620 w 63rd st,60621,OPEN,31905.0
one stop foods,4301 s lake park ave,60653,OPEN,40666.0
jewel - osco,1655 e 95th st,60617,OPEN,51778.0
fairplay neighborhood market,4640 s halsted st.,60609,OPEN,58896.0
whole foods market,959 w fullerton ave,60614,ONLINE ORDERS ONLY,136448.0
save a lot,420 s pulaksi rd,60624,OPEN,34030.0
potash markets,1525 n clark street,60610,OPEN,105226.0
mariano's fresh market,2021 w chicago avenue,60622,OPEN,136277.0
carniceria la hacienda,5153 s kedzie ave,60632,OPEN,64809.0
